,key,avatar,zh-CN,ja,en,source_file
,level0_spot,,市区里一栋老建筑,市内のとある古い建物,An Old Building Somewhere in the City,Level0.csv
,level0_spot_text,me,“这栋老楼，卡在十字路口。看起来在这儿很久了。”,「この古い建物、交差点の真ん中に挟まってる。ずっとここにあるみたいだ。」,"This old building is stuck right at the intersection.Looks like it’s been here a long time.",Level0.csv
,level0_goalx,,兜风大爷,サイクリングおじさん,The Biking Grandpa,Level0.csv
,level0_goalx_dialog11,me,“大楼拐角是圆弧形的设计，很特别。”,「建物の角が丸いデザインで、ちょっと珍しい。」,"The corner of the building is rounded.That’s pretty unusual.",Level0.csv
,level0_goalx_dialog111,me,“一整个拐角都是这家金饰店，难怪远看金碧辉煌的。”,「曲がり角一帯が金物屋なんだ。遠くから見ると金ぴかに見えるわけだ。」,"The whole corner is one big jewelry shop.No wonder it looks so shiny from far away.",Level0.csv
,level0_goalx_dialog1111,me,“神奇，当地人喜欢把衣服和被子撑到窗外很远的地方晒诶。”,「不思議。ここの人、服とか布団をずいぶん外まで干すんだね。」,"Interesting. People here like to hang clothes and blankets way out of the windows.",Level0.csv
,level0_goalx_dialog1,me,“骑共享单车溜达也很方便呢。”,「シェアサイクルでぶらっと回るのも、けっこう便利だね。」,“Getting around on a bike share is pretty convenient too.”,Level0.csv
,level0_goalx_dialog22,,“……兜风去。”,「……俺も飛ばしてみるか。」,"…Time to go for a spin.",Level0.csv
,level0_goalx_dialog3,me,“大爷兜风去咯。”,「おじさん、サイクリングに出発だよ。」,"Grandpa’s off for a ride!",Level0.csv
,level0_subgoal1,me,一片大树叶,大きな葉っぱ一枚。,A large leaf,Level0.csv
,level0_subgoal1_dialog2,me,“好大的叶子啊，捡回去做纪念吧。”,「葉っぱ、大きいな。記念に持って帰ろう。」,"What a big leaf. I'll take it back as a souvenir.",Level0.csv
,level0_spot0_memo,,难得出来的短期旅途，好好记记：,めったにない短い旅。ちゃんとメモしておこう。,A rare short trip. Better jot things down:,Level0.csv
,level0_goal0_description,,* 老楼下面，总有人出来兜一圈。,＊ 古い建物の下って、ぶらっと一回りしに出てくる人が必ずいる。,* Around old buildings like this, there’s always someone heading out for a little ride.,Level0.csv
,level0_goal0_summary,,日常生活的一次脱轨,日常からの小さな逸脱,A small break from routine,Level0.csv
,level0_subgoal1_description,,* 这么大的树叶，直接飘到马路上。,・こんな大きな葉っぱ、道までひらっと飛んでくるんだ。,* A leaf this big just drifting right onto the road.,Level0.csv
,level0_congrats,,大爷的生活，好像改变了一点点？,おじいさんの暮らし、少し変わった気がする。,Looks like the old man's life has changed just a little.,Level0.csv
